28,admin.,married,university.degree,no,no,no,cellular,aug,fri,161,4,999,0,nonexistent,-1.7,94.027,-38.3,0.898,4991.6,yes,2025-07-09,Svm Pipeline,Not Subscribed,76.79%
38,blue-collar,married,basic.9y,no,no,no,telephone,jun,wed,333,1,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no,2025-07-09,Svm Pipeline,Not Subscribed,98.96%
49,blue-collar,married,basic.4y,unknown,no,no,telephone,may,fri,122,4,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no,2025-07-09,Svm Pipeline,Not Subscribed,99.92%
38,management,single,university.degree,no,no,no,cellular,jul,wed,76,17,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no,2025-07-09,Svm Pipeline,Not Subscribed,99.54%
36,blue-collar,single,basic.9y,no,no,no,cellular,jul,mon,234,2,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no,2025-07-09,Svm Pipeline,Not Subscribed,98.91%
51,blue-collar,married,university.degree,no,yes,no,cellular,may,fri,99,3,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,no,2025-07-09,Svm Pipeline,Not Subscribed,93.91%
57,retired,married,professional.course,unknown,no,yes,cellular,jul,tue,1720,4,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,yes,2025-07-09,Svm Pipeline,Not Subscribed,77.05%
44,services,divorced,high.school,no,yes,no,cellular,may,thu,533,1,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,yes,2025-07-09,Svm Pipeline,Not Subscribed,74.25%
27,admin.,single,university.degree,no,yes,no,cellular,aug,wed,429,2,999,0,nonexistent,-2.9,92.201,-31.4,0.879,5076.2,yes,2025-07-09,Svm Pipeline,Not Subscribed,97.11%
58,management,divorced,university.degree,no,yes,no,telephone,jul,wed,174,5,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,no,2025-07-09,Svm Pipeline,Not Subscribed,99.29%
28,services,single,high.school,no,no,no,telephone,jun,tue,406,3,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no,2025-07-09,Svm Pipeline,Not Subscribed,98.15%
41,admin.,married,university.degree,no,no,no,cellular,aug,tue,766,2,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,yes,2025-07-09,Svm Pipeline,Not Subscribed,94.43%
34,blue-collar,married,basic.9y,no,yes,no,telephone,jun,fri,232,2,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,2025-07-09,Svm Pipeline,Not Subscribed,98.88%
29,services,single,high.school,no,yes,yes,cellular,jun,wed,431,2,999,2,failure,-2.9,92.963,-40.8,1.26,5076.2,yes,2025-07-09,Svm Pipeline,Not Subscribed,93.56%
55,blue-collar,divorced,basic.4y,unknown,no,no,cellular,may,wed,130,1,999,1,failure,-1.8,92.893,-46.2,1.281,5099.1,no,2025-07-09,Svm Pipeline,Not Subscribed,88.9%
37,technician,single,university.degree,no,yes,no,cellular,aug,tue,481,2,999,4,failure,-1.7,94.027,-38.3,0.899,4991.6,yes,2025-07-09,Svm Pipeline,Not Subscribed,97.71%
18,student,single,unknown,no,yes,no,cellular,may,thu,183,1,7,2,success,-1.8,93.876,-40.0,0.677,5008.7,no,2025-07-09,Svm Pipeline,Not Subscribed,68.08%
39,blue-collar,married,professional.course,unknown,yes,no,telephone,jun,thu,27,1,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,no,2025-07-09,Svm Pipeline,Not Subscribed,99.99%
36,blue-collar,married,basic.9y,no,no,no,telephone,may,wed,360,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no,2025-07-09,Svm Pipeline,Not Subscribed,99.1%
34,blue-collar,married,basic.9y,no,no,yes,cellular,may,wed,50,1,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,no,2025-07-09,Svm Pipeline,Not Subscribed,99.35%
35,blue-collar,married,basic.9y,no,yes,no,cellular,nov,mon,212,1,999,2,failure,-1.1,94.767,-50.8,1.05,4963.6,yes,2025-07-09,Svm Pipeline,Not Subscribed,77.29%
36,unemployed,married,university.degree,no,no,no,cellular,jul,thu,616,2,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,yes,2025-07-09,Svm Pipeline,Not Subscribed,80.98%
55,admin.,married,high.school,no,no,yes,cellular,apr,wed,307,1,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,yes,2025-07-09,Svm Pipeline,Not Subscribed,66.56%
50,blue-collar,married,basic.4y,no,no,no,cellular,jul,mon,1130,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,yes,2025-07-09,Svm Pipeline,Not Subscribed,93.93%
37,blue-collar,married,professional.course,no,yes,no,cellular,apr,mon,93,4,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no,2025-07-09,Svm Pipeline,Not Subscribed,98.89%
24,student,single,high.school,no,no,no,telephone,jun,wed,132,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no,2025-07-09,Svm Pipeline,Not Subscribed,99.98%
57,technician,married,university.degree,unknown,no,yes,telephone,may,mon,76,5,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2025-07-09,Svm Pipeline,Not Subscribed,99.81%
59,retired,divorced,high.school,no,yes,no,cellular,apr,thu,247,2,999,1,failure,-1.8,93.749,-34.6,0.644,5008.7,yes,2025-07-09,Svm Pipeline,Not Subscribed,92.34%
32,admin.,single,university.degree,no,yes,yes,cellular,sep,tue,69,2,999,0,nonexistent,-3.4,92.379,-29.8,0.819,5017.5,yes,2025-07-09,Svm Pipeline,Not Subscribed,74.52%
36,self-employed,divorced,professional.course,unknown,yes,yes,cellular,jul,tue,110,4,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no,2025-07-09,Svm Pipeline,Not Subscribed,99.94%
48,management,married,university.degree,no,yes,yes,cellular,nov,tue,747,2,999,0,nonexistent,-3.4,92.649,-30.1,0.715,5017.5,yes,2025-07-09,Svm Pipeline,Not Subscribed,93.77%
33,admin.,single,university.degree,unknown,unknown,unknown,cellular,aug,tue,313,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no,2025-07-09,Svm Pipeline,Not Subscribed,97.09%
43,technician,divorced,professional.course,no,yes,no,telephone,jun,mon,99,3,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no,2025-07-09,Svm Pipeline,Not Subscribed,99.87%
39,blue-collar,married,unknown,no,no,no,telephone,may,fri,496,4,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2025-07-09,Svm Pipeline,Not Subscribed,68.76%
26,blue-collar,single,high.school,no,no,no,cellular,may,fri,49,3,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,no,2025-07-09,Svm Pipeline,Not Subscribed,99.79%
47,admin.,divorced,high.school,no,yes,no,cellular,sep,tue,188,1,3,1,success,-3.4,92.379,-29.8,0.77,5017.5,yes,2025-07-09,Svm Pipeline,Not Subscribed,82.0%
24,technician,single,professional.course,no,yes,no,cellular,jul,wed,171,5,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no,2025-07-09,Svm Pipeline,Not Subscribed,99.77%
35,self-employed,married,university.degree,no,no,no,telephone,nov,mon,81,1,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,no,2025-07-09,Svm Pipeline,Not Subscribed,98.87%
26,student,single,basic.9y,no,yes,no,cellular,oct,tue,75,2,999,1,failure,-3.4,92.431,-26.9,0.742,5017.5,yes,2025-07-09,Svm Pipeline,Not Subscribed,56.16%
31,unemployed,single,university.degree,no,yes,no,cellular,may,tue,11,9,999,0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1,no,2025-07-09,Svm Pipeline,Not Subscribed,99.69%
33,blue-collar,single,high.school,no,no,no,cellular,may,mon,2301,1,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,yes,2025-07-09,Svm Pipeline,Not Subscribed,66.98%
53,admin.,single,high.school,no,yes,yes,telephone,apr,wed,75,3,999,0,nonexistent,-1.8,93.075,-47.1,1.372,5099.1,no,2025-07-09,Svm Pipeline,Not Subscribed,87.53%
43,technician,married,professional.course,no,no,no,cellular,may,thu,460,1,999,1,failure,-1.8,93.876,-40.0,0.699,5008.7,yes,2025-07-09,Svm Pipeline,Not Subscribed,97.91%
34,technician,single,professional.course,no,yes,yes,telephone,aug,mon,64,1,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,no,2025-07-09,Svm Pipeline,Not Subscribed,99.87%
41,technician,single,professional.course,no,yes,no,cellular,aug,tue,54,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no,2025-07-09,Svm Pipeline,Not Subscribed,99.95%
33,blue-collar,married,basic.6y,unknown,no,no,cellular,may,wed,139,2,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,no,2025-07-09,Svm Pipeline,Not Subscribed,98.61%
33,technician,married,professional.course,no,no,no,telephone,jun,mon,220,4,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no,2025-07-09,Svm Pipeline,Not Subscribed,99.77%
47,technician,married,unknown,unknown,yes,no,cellular,jul,wed,239,2,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,no,2025-07-09,Svm Pipeline,Not Subscribed,98.86%
29,admin.,married,high.school,no,yes,yes,cellular,aug,mon,36,3,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no,2025-07-09,Svm Pipeline,Not Subscribed,99.92%
25,blue-collar,single,basic.9y,no,no,no,cellular,may,fri,170,2,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,no,2025-07-09,Svm Pipeline,Not Subscribed,97.93%
35,admin.,married,high.school,unknown,no,no,telephone,may,mon,66,4,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2025-07-09,Svm Pipeline,Not Subscribed,99.98%
29,technician,married,professional.course,no,yes,no,cellular,jul,wed,332,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no,2025-07-09,Svm Pipeline,Not Subscribed,93.72%
57,retired,married,university.degree,no,no,no,cellular,apr,thu,81,1,999,1,failure,-1.8,93.075,-47.1,1.365,5099.1,no,2025-07-09,Svm Pipeline,Not Subscribed,66.25%
49,unemployed,married,basic.6y,unknown,no,no,cellular,apr,mon,68,5,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,no,2025-07-09,Svm Pipeline,Not Subscribed,98.6%
35,admin.,married,university.degree,no,yes,no,telephone,may,fri,150,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no,2025-07-09,Svm Pipeline,Not Subscribed,99.7%
31,blue-collar,married,basic.6y,no,no,no,telephone,may,wed,439,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2025-07-09,Svm Pipeline,Not Subscribed,97.06%
43,admin.,married,high.school,no,no,no,cellular,nov,tue,127,1,999,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8,no,2025-07-09,Svm Pipeline,Not Subscribed,99.7%
34,blue-collar,married,basic.6y,no,yes,no,cellular,jul,mon,320,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no,2025-07-09,Svm Pipeline,Not Subscribed,95.41%
38,admin.,single,university.degree,no,yes,no,telephone,jun,tue,284,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no,2025-07-09,Svm Pipeline,Not Subscribed,98.94%
43,admin.,married,university.degree,no,yes,no,cellular,aug,wed,281,4,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no,2025-07-09,Svm Pipeline,Not Subscribed,95.81%
38,management,married,university.degree,no,yes,no,cellular,nov,thu,83,1,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,no,2025-07-09,Svm Pipeline,Not Subscribed,99.72%
46,blue-collar,married,professional.course,no,no,no,telephone,may,wed,247,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2025-07-09,Svm Pipeline,Not Subscribed,99.85%
39,admin.,single,high.school,unknown,no,no,telephone,may,thu,344,2,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no,2025-07-09,Svm Pipeline,Not Subscribed,97.97%
47,entrepreneur,married,professional.course,no,no,no,telephone,may,tue,400,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2025-07-09,Svm Pipeline,Not Subscribed,97.56%
25,blue-collar,single,basic.4y,no,yes,no,telephone,may,fri,304,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no,2025-07-09,Svm Pipeline,Not Subscribed,96.3%
38,management,married,high.school,no,no,no,telephone,may,tue,776,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,yes,2025-07-09,Svm Pipeline,Not Subscribed,78.56%
36,technician,married,professional.course,no,no,yes,telephone,jun,thu,247,2,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no,2025-07-09,Svm Pipeline,Not Subscribed,99.73%
30,admin.,married,university.degree,no,yes,no,cellular,apr,tue,496,1,999,0,nonexistent,-1.8,93.075,-47.1,1.423,5099.1,yes,2025-07-09,Svm Pipeline,Not Subscribed,93.09%
34,admin.,single,university.degree,no,yes,no,cellular,mar,tue,568,1,6,3,success,-1.8,93.369,-34.8,0.652,5008.7,yes,2025-07-09,Svm Pipeline,Not Subscribed,98.55%
47,self-employed,married,university.degree,no,unknown,unknown,cellular,aug,tue,95,4,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no,2025-07-09,Svm Pipeline,Not Subscribed,99.97%
46,entrepreneur,married,high.school,no,yes,no,cellular,aug,mon,109,1,999,0,nonexistent,-2.9,92.201,-31.4,0.861,5076.2,yes,2025-07-09,Svm Pipeline,Not Subscribed,54.29%
45,admin.,married,basic.9y,no,yes,no,telephone,may,wed,173,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2025-07-09,Svm Pipeline,Not Subscribed,99.87%
38,housemaid,married,university.degree,no,yes,no,cellular,aug,tue,295,2,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no,2025-07-09,Svm Pipeline,Not Subscribed,97.74%
30,housemaid,married,high.school,no,yes,no,telephone,may,wed,207,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,no,2025-07-09,Svm Pipeline,Not Subscribed,99.8%
31,management,divorced,university.degree,no,yes,no,cellular,may,fri,156,2,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,no,2025-07-09,Svm Pipeline,Not Subscribed,89.27%
52,admin.,divorced,high.school,no,no,no,cellular,jul,fri,87,5,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no,2025-07-09,Svm Pipeline,Not Subscribed,99.75%
48,unemployed,divorced,basic.4y,no,no,yes,telephone,jun,mon,119,2,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,no,2025-07-09,Svm Pipeline,Not Subscribed,99.82%
27,blue-collar,single,basic.6y,no,no,no,telephone,jul,tue,68,3,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no,2025-07-09,Svm Pipeline,Not Subscribed,99.97%
43,blue-collar,married,basic.4y,unknown,yes,no,telephone,jun,wed,173,1,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,no,2025-07-09,Svm Pipeline,Not Subscribed,99.86%
45,blue-collar,married,basic.6y,unknown,no,no,telephone,jun,thu,333,1,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,no,2025-07-09,Svm Pipeline,Not Subscribed,98.56%
32,admin.,married,university.degree,no,yes,yes,cellular,aug,wed,152,2,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no,2025-07-09,Svm Pipeline,Not Subscribed,99.38%
30,admin.,married,university.degree,unknown,yes,no,cellular,aug,mon,142,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no,2025-07-09,Svm Pipeline,Not Subscribed,99.65%
60,retired,married,professional.course,no,yes,no,cellular,aug,thu,448,3,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no,2025-07-09,Svm Pipeline,Not Subscribed,95.45%
32,admin.,single,basic.9y,no,yes,no,cellular,jul,thu,77,2,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,no,2025-07-09,Svm Pipeline,Not Subscribed,99.97%
32,blue-collar,married,basic.9y,no,no,no,telephone,jun,mon,78,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no,2025-07-09,Svm Pipeline,Not Subscribed,99.97%
54,entrepreneur,married,university.degree,no,yes,no,telephone,jun,wed,39,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no,2025-07-09,Svm Pipeline,Not Subscribed,99.95%
53,management,married,high.school,no,yes,no,cellular,may,mon,8,3,999,0,nonexistent,-1.8,92.893,-46.2,1.354,5099.1,no,2025-07-09,Svm Pipeline,Not Subscribed,97.51%
36,admin.,single,unknown,no,no,no,cellular,jul,tue,209,1,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no,2025-07-09,Svm Pipeline,Not Subscribed,99.49%
27,technician,single,high.school,no,yes,no,telephone,may,thu,43,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no,2025-07-09,Svm Pipeline,Not Subscribed,99.98%
29,blue-collar,married,basic.6y,no,no,no,cellular,may,tue,342,1,999,1,failure,-1.8,92.893,-46.2,1.291,5099.1,no,2025-07-09,Svm Pipeline,Not Subscribed,69.17%
55,unemployed,single,basic.4y,unknown,unknown,unknown,telephone,may,fri,147,7,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no,2025-07-09,Svm Pipeline,Not Subscribed,99.68%
38,admin.,married,high.school,no,yes,no,telephone,may,thu,26,3,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no,2025-07-09,Svm Pipeline,Not Subscribed,99.99%
28,blue-collar,single,basic.4y,unknown,no,no,cellular,jul,wed,186,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no,2025-07-09,Svm Pipeline,Not Subscribed,99.66%
37,admin.,single,high.school,no,yes,no,cellular,jul,tue,316,2,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no,2025-07-09,Svm Pipeline,Not Subscribed,97.62%
37,housemaid,married,high.school,unknown,yes,no,cellular,aug,thu,481,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,yes,2025-07-09,Svm Pipeline,Not Subscribed,56.36%
30,technician,single,university.degree,unknown,yes,no,cellular,aug,thu,78,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no,2025-07-09,Svm Pipeline,Not Subscribed,99.8%
32,admin.,single,university.degree,no,yes,no,cellular,aug,thu,159,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no,2025-07-09,Svm Pipeline,Not Subscribed,99.58%
43,technician,single,university.degree,no,yes,no,cellular,jul,thu,534,1,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,yes,2025-07-09,Svm Pipeline,Not Subscribed,56.69%
35,blue-collar,single,basic.9y,no,yes,no,cellular,jul,mon,126,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no,2025-07-09,Svm Pipeline,Not Subscribed,99.86%
47,blue-collar,married,unknown,unknown,no,no,telephone,may,tue,1334,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,yes,2025-07-09,Svm Pipeline,Not Subscribed,84.35%
42,technician,married,professional.course,no,no,no,cellular,aug,thu,295,1,6,2,success,-1.7,94.027,-38.3,0.899,4991.6,yes,2025-07-09,Svm Pipeline,Not Subscribed,94.93%
39,blue-collar,married,basic.6y,no,yes,no,cellular,nov,thu,391,2,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,no,2025-07-09,Svm Pipeline,Not Subscribed,79.22%
41,entrepreneur,married,university.degree,no,yes,no,telephone,may,wed,1138,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,yes,2025-07-09,Svm Pipeline,Not Subscribed,79.79%
38,admin.,married,professional.course,no,no,no,cellular,jul,mon,182,3,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no,2025-07-09,Svm Pipeline,Not Subscribed,99.56%
29,services,single,high.school,unknown,yes,no,cellular,jul,fri,289,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no,2025-07-09,Svm Pipeline,Not Subscribed,94.14%
33,blue-collar,married,basic.9y,no,yes,no,cellular,jul,wed,1019,11,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,yes,2025-07-09,Svm Pipeline,Not Subscribed,57.38%
41,admin.,single,university.degree,no,yes,no,cellular,apr,mon,279,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,yes,2025-07-09,Svm Pipeline,Not Subscribed,75.82%
45,management,married,basic.9y,no,yes,no,cellular,may,thu,165,1,999,3,failure,-1.8,93.876,-40.0,0.692,5008.7,yes,2025-07-09,Svm Pipeline,Not Subscribed,70.96%
35,admin.,married,university.degree,no,yes,no,cellular,aug,tue,146,3,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no,2025-07-09,Svm Pipeline,Not Subscribed,99.76%
56,retired,married,basic.6y,no,yes,no,telephone,apr,mon,172,1,999,0,nonexistent,-1.8,93.075,-47.1,1.466,5099.1,yes,2025-07-09,Svm Pipeline,Not Subscribed,63.61%
30,admin.,single,university.degree,no,yes,no,cellular,may,mon,188,1,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,no,2025-07-09,Svm Pipeline,Not Subscribed,82.84%
41,management,divorced,university.degree,unknown,yes,yes,telephone,may,thu,341,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no,2025-07-09,Svm Pipeline,Not Subscribed,99.23%
41,blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,105,2,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,no,2025-07-09,Svm Pipeline,Not Subscribed,99.97%
31,technician,married,professional.course,no,no,no,telephone,may,mon,157,5,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2025-07-09,Svm Pipeline,Not Subscribed,99.95%
29,technician,single,professional.course,no,yes,yes,cellular,aug,fri,202,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no,2025-07-09,Svm Pipeline,Not Subscribed,92.98%
38,unknown,divorced,high.school,unknown,yes,no,telephone,may,mon,73,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2025-07-09,Svm Pipeline,Not Subscribed,99.98%
48,blue-collar,married,basic.9y,no,no,no,telephone,may,tue,284,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2025-07-09,Svm Pipeline,Not Subscribed,99.66%
24,student,single,high.school,no,yes,yes,cellular,jul,tue,316,3,999,1,failure,-1.7,94.215,-40.3,0.835,4991.6,yes,2025-07-09,Svm Pipeline,Not Subscribed,83.98%
53,blue-collar,divorced,basic.4y,no,no,no,cellular,jul,tue,64,1,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no,2025-07-09,Svm Pipeline,Not Subscribed,99.95%
56,self-employed,married,basic.9y,no,yes,no,telephone,aug,wed,41,7,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no,2025-07-09,Svm Pipeline,Not Subscribed,99.83%
32,technician,single,university.degree,unknown,yes,no,cellular,aug,wed,322,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no,2025-07-09,Svm Pipeline,Not Subscribed,89.07%
29,admin.,single,university.degree,no,no,no,cellular,apr,thu,71,2,999,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,no,2025-07-09,Svm Pipeline,Not Subscribed,92.94%
32,management,married,university.degree,no,yes,no,cellular,aug,thu,106,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no,2025-07-09,Svm Pipeline,Not Subscribed,99.78%
28,student,single,high.school,no,yes,yes,telephone,jun,wed,604,6,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,yes,2025-07-09,Svm Pipeline,Not Subscribed,54.75%
33,technician,single,professional.course,no,yes,no,cellular,may,wed,201,1,999,1,failure,-1.8,92.893,-46.2,1.281,5099.1,no,2025-07-09,Svm Pipeline,Not Subscribed,94.69%
28,technician,divorced,university.degree,no,no,no,cellular,jul,wed,265,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no,2025-07-09,Svm Pipeline,Not Subscribed,98.1%
43,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,wed,180,5,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no,2025-07-09,Svm Pipeline,Not Subscribed,99.87%
54,management,married,university.degree,no,yes,no,cellular,may,fri,173,1,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,no,2025-07-09,Svm Pipeline,Not Subscribed,86.01%
31,blue-collar,single,basic.4y,no,yes,no,cellular,nov,thu,111,2,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,no,2025-07-09,Svm Pipeline,Not Subscribed,99.59%
36,admin.,single,high.school,no,yes,no,telephone,jul,thu,140,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no,2025-07-09,Svm Pipeline,Not Subscribed,99.9%
56,retired,married,professional.course,no,no,no,cellular,jul,wed,135,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no,2025-07-09,Svm Pipeline,Not Subscribed,99.83%
45,technician,married,high.school,no,yes,yes,cellular,aug,tue,474,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no,2025-07-09,Svm Pipeline,Not Subscribed,75.94%
54,technician,married,basic.6y,no,no,no,cellular,jul,thu,112,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no,2025-07-09,Svm Pipeline,Not Subscribed,99.91%
48,services,married,high.school,no,yes,no,cellular,apr,fri,193,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no,2025-07-09,Svm Pipeline,Not Subscribed,74.67%
60,management,married,unknown,unknown,yes,no,telephone,jun,mon,35,1,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,no,2025-07-09,Svm Pipeline,Not Subscribed,99.87%
35,admin.,married,university.degree,no,yes,no,cellular,aug,wed,252,5,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,no,2025-07-09,Svm Pipeline,Not Subscribed,97.39%
27,services,single,high.school,no,yes,no,cellular,may,thu,88,1,999,1,failure,-1.8,92.893,-46.2,1.266,5099.1,no,2025-07-09,Svm Pipeline,Not Subscribed,99.34%
51,admin.,married,university.degree,no,yes,no,cellular,aug,thu,212,1,999,0,nonexistent,-2.9,92.201,-31.4,0.829,5076.2,yes,2025-07-09,Svm Pipeline,Not Subscribed,86.62%
40,admin.,single,university.degree,no,no,no,telephone,jun,thu,136,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no,2025-07-09,Svm Pipeline,Not Subscribed,99.81%
36,admin.,married,high.school,no,yes,no,cellular,nov,mon,88,2,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,no,2025-07-09,Svm Pipeline,Not Subscribed,99.9%
34,management,married,university.degree,no,no,no,telephone,nov,thu,29,1,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,no,2025-07-09,Svm Pipeline,Not Subscribed,99.63%
44,services,married,high.school,no,yes,no,cellular,may,tue,10,5,999,0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1,no,2025-07-09,Svm Pipeline,Not Subscribed,99.79%
37,technician,single,professional.course,no,yes,no,cellular,aug,thu,286,2,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no,2025-07-09,Svm Pipeline,Not Subscribed,95.02%
